TRANS_DATE,ASHARES,TRANS_PRICEPERSHARE,DSHARES
2013-04-28,5439.19,48.564,5.0
2013-04-29,90548162.26,412.0115113871636,120715086.0
2013-04-30,480020361.86,4164.018786585366,256141782.0
2013-05-02,41293272.92,25.005188470066518,49298581.0
2013-05-03,21248063.91,111.4500345025877,11398662.0
2013-05-04,164010.0,18.453214285714285,139.0
2013-05-05,16653.55,34.3753125,61.0
2013-05-06,52460174.910000004,68.29861575178997,199938152.0
2013-05-07,52041083.59,86.59737235367372,287590513.0
2013-05-09,43632975.6,25.293688348820588,36639383.0
2013-05-10,20144424.87,37.8766557805356,11826972.0
2013-05-11,132966.82,41.431827956989245,626.0
2013-05-12,134414.0,26.129814814814814,13.0
2013-05-13,519860474.76,30.973550151975683,588155533.0
2013-05-14,135729974.67,67.15401951219512,31236960.0
2013-05-15,65378898.74,40.91699698568199,86948137.0
2013-05-16,12745176.28,66.88363945578232,3955833.0
2013-05-17,161028584.60000002,51.87029331514325,32890689.0
2013-05-18,595808.0,20.452248062015506,32543.0
2013-05-19,36826.0,11.83025,877.0
2013-05-20,396868161.55,27.915805266380897,794086228.0
2013-05-21,348379444.68,166.826898861353,735381033.0
2013-05-22,1271304625.59,2195.225033975085,8358740804.0
2013-05-25,587807.0,31.437833333333334,7304.0
2013-05-26,4187944.0,23.769852941176474,60252.0
2013-05-27,47587.0,16.16465517241379,31715.0
2013-05-28,30064866.1,51.871265597147946,8137384.0
2013-05-29,205632547.63,66.96447368421052,142839135.0
2013-05-30,25827479.400000002,26.959889064976228,16339004.0
2013-05-31,129682333.54,1374.4173390842734,55621834.0
2013-06-01,4527871.51,25.81187898089172,4427.0
2013-06-02,201749.0,13.556071428571428,440.0
2013-06-03,65695461.88,27.362979753521127,12300980.0
2013-06-04,13973246.82,180.76288007554297,21714353.0
2013-06-05,108634949.34,21.23689189189189,80417678.0
2013-06-06,186606801.33,232.5957330415755,124420007.0
2013-06-07,35111263.38,21.321973947895792,14624584.0
2013-06-08,290202.0,36.075066666666665,1120.0
2013-06-09,130458.0,41.96026315789474,2751.0
2013-06-10,8439845.54,68.12572968490879,16852652.0
2013-06-11,15516867.13,195.64023702031602,585084225.0
2013-06-12,71322810.13,89.78045774647887,139043554.0
2013-06-13,34562972.27,560.3517494824017,121787464.0
2013-06-14,200987580.51,29.86703539823009,533019020.0
2013-06-15,3346324.08,28.38509090909091,1851.0
2013-06-17,24952287.38,31.307625354777677,6854688.0
2013-06-18,243827912.06,101.98029216467464,229667747.0
2013-06-19,482462393.51,19.904258241758242,1242278298.0
2013-06-20,56470289.92,18.41235655737705,38046577.0
2013-06-21,12902845.28,747.074255319149,28383172.0
2013-06-22,272161.0,34.64296296296296,891.0
2013-06-23,190081.0,7.708253968253969,529.0
2013-06-24,452512175.24,101.42106546854941,428631608.0
2013-06-25,39473046.26,374.93068870523416,173619110.0
2013-06-27,2043989572.9399998,190.26109060402683,2788425487.0
2013-06-28,58299107.52,49053.64494912791,318378917.0
2013-06-29,276458.9,18.143030303030304,2338.0
2013-06-30,6261433.470000001,6127.204652014652,2805.0
2013-07-01,377152675.22,34.2810640272193,752633910.0
2013-07-02,50937556.76,73.88542521994135,155545547.0
2013-07-03,6751356.8100000005,27.160239130434785,237743.0
2013-07-04,66868.0,4.783636363636364,174443.0
2013-07-05,143448447.23,29.31218411552347,82197909.0
2013-07-06,67760.0,1644.4072972972972,119.0
2013-07-07,63006.52,23.416190476190476,71.0
2013-07-08,177943075.24,40.51480991735537,6412694.0
2013-07-09,978369813.21,72.0476282051282,372478401.0
2013-07-10,3086625013.4100003,40.53691441441441,3907461791.0
2013-07-11,81970214.27,47.38538726333907,66947832.0
2013-07-12,90951093.81,62.03028523489933,65503833.0
2013-07-13,23841.0,10.26576923076923,10.0
2013-07-14,12006910.0,39.926,4137.0
2013-07-15,489791146.7,33.43626525630594,290972239.0
2013-07-16,391168741.38,22.7342151675485,1064357103.0
2013-07-17,30311209.71,26.80423762376238,46004155.0
2013-07-18,189063426.47,37.916907894736845,123263077.0
2013-07-19,27537754.16,43.77165562913907,5688578.0
2013-07-20,52843.0,31.3186,69.0
2013-07-23,136829705.39,731.4104427480916,48539730.0
2013-07-25,71971051.07000001,1967.1066627906976,4218392.0
2013-07-26,45732176.31,55.46190066857689,748709626.0
2013-07-27,567505.0,13.19,980.0
2013-07-28,26889.0,20.007777777777775,258.0
2013-07-29,37814436.36,85.5320652173913,10156109.0
2013-07-30,63441838.65,88321.50750786164,48235837.0
2013-07-31,124006598.01,4117.708001336899,336583218.0
2013-08-02,42278429.13,38.84082222222222,11695559.0
2013-08-03,1327532.0,24.547659574468085,194.0
2013-08-04,288888.29,26.66452380952381,22.0
2013-08-05,121740695.24,43.24722661396574,93627610.0
2013-08-06,48241001.47,38.551905158069886,158885683.0
2013-08-07,60066576.14,22.016517055655296,39484224.0
2013-08-08,71240219.51,31.60704866562009,59396434.0
2013-08-09,51354648.5,1254.161030612245,34448374.0
2013-08-10,165885.0,54.153191489361696,42.0
2013-08-11,162833.0,40.104464285714286,135.0
2013-08-12,81037205.37,35.73658852061439,150084723.0
2013-08-13,85306883.49,47.849755911517924,45480511.0
2013-08-14,221654277.99,37.7418045112782,1674353984.0
2013-08-15,104341278.09,39.129175461741426,39529319.0
2013-08-16,15455366.34,195.8693010752688,34675801.0
2013-08-19,192722609.35,29.450913461538462,31329265.0
2013-08-20,19311756.8,23.579634551495015,18337900.0
2013-08-21,17113397.81,19.260756693830036,742007.0
2013-08-22,386078849.58,1092.3713979706877,364751317.0
2013-08-23,46795240.51,45.66428284854564,95875475.0
2013-08-24,489360.0,28.925263157894737,49.0
2013-08-25,4540336.0,18.55777777777778,6325.0
2013-08-26,9444385.73,100.732738791423,6275297.0
2013-08-27,110356153.15,161.36789544235924,224341244.0
2013-08-28,34076807.6,125.90828087167071,8704791.0
2013-08-29,59263893.59,85.47101219512194,38586476.0
2013-08-30,237084315.89000002,55.00111731843575,91216134.0
2013-08-31,884789.78,29.80442105263158,5058.0
2013-09-01,3123537.02,110.89794223826715,39528.0
2013-09-02,196524.0,45.60393939393939,31883.0
2013-09-03,14931735.95,36.48644122383253,5413814.0
2013-09-04,23231975.06,30.074002047082907,2591721.0
2013-09-05,14307918.81,33.96784263959391,5648797.0
2013-09-06,24109526.69,28.757212903225806,46918767.0
2013-09-07,684751.0,18.79346153846154,22602.0
2013-09-08,235496.0,13.099215686274508,229.0
2013-09-09,1408224204.12,38.25064248704663,49323993949.0
2013-09-10,203001732.41,39.94131221719457,40505339.0
2013-09-11,93250519.85,44.85639018691589,208054540.0
2013-09-12,217670258.65,41.22200684150513,211695420.0
2013-09-13,28690267.84,34.158150134048256,63302045.0
2013-09-14,105649.0,29.66491525423729,3722.0
2013-09-15,1874999.69,29.53219626168224,1175.0
2013-09-16,12449560.290000001,53.56745440126883,16821865.0
2013-09-17,20604856.4,28.166327433628318,15613153.0
2013-09-18,39025166.63,34.69678035470669,17609381.0
2013-09-19,54098556.72,37.452798165137615,20613174.0
2013-09-20,17615434.49,32.70651554404145,12692650.0
2013-09-21,95914.0,43.57234042553192,232.0
2013-09-22,59919.0,22.98375,124.0
2013-09-23,129252204.22,39.7037806873977,105743975.0
2013-09-25,143204472.96,91.06818604651163,51259717.0
2013-09-26,121140940.51,112.8529761904762,455461407.0
2013-09-27,316581097.58,17.615136298421806,142890979.0
2013-09-28,5887328.0,14.210833333333333,16600.0
2013-09-30,220173294.02,10173.69472408458,19368154.0
2013-10-02,45408183.1,29.528225806451612,60239989.0
2013-10-03,4274105.33,26.52885542168675,834975.0
2013-10-04,688508434.74,30.45994056463596,140033084.0
2013-10-05,58499.0,32.441842105263156,3706.0
2013-10-06,460162.0,22.347142857142856,311.0
