File,OwnerName,IsDir,IsOff,IsTen,SecTitle,TransDate,Shares,PPS,ADCode,SharesAfter,DIOwner
0000078003-03-000157,MITCHELL JOHN W,0,1,0,Common Stock,2003-07-30,19044,5.25,A,673366,D
0000078003-03-000183,CANGIALOSI LORETTA V,0,1,0,Common Stock,2003-08-27,3600,5.71,A,46668,D
0000078003-03-000183,CANGIALOSI LORETTA V,0,1,0,Common Stock,2003-08-27,682,30.17,D,45986,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,17731,9.72,A,62781,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,5000,22.77,A,67781,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,32763,22.77,A,100544,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,17731,16.72,A,118275,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,3699,30.87,D,114576,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,399,30.87,D,114177,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,2616,30.87,D,111561,D
0000078003-03-000227,CORR PETER B,0,1,0,Common Stock,2003-10-02,12079,30.87,D,99482,D
0000078003-03-000228,CORR PETER B,0,1,0,Common Stock,2003-10-06,20109,22.77,A,119591,D
0000078003-03-000228,CORR PETER B,0,1,0,Common Stock,2003-10-06,1597,30.82,D,117994,D
0000078003-03-000233,NORTON ROBERT W,0,1,0,Common Stock,2003-10-15,1800,0,D,249520,D
0000078003-03-000245,NORTON ROBERT W,0,1,0,Common Stock,2003-10-17,620,0,D,248900,D
0000078003-03-000255,CORR PETER B,0,1,0,Common Stock,2003-11-03,37900,31.63,D,80094,D
0000078003-03-000255,CORR PETER B,0,1,0,Common Stock,2003-11-03,35044,31.62,D,45050,D
0000078003-03-000291,KATEN KAREN L,0,1,0,Common Stock,2003-11-18,64800,8.17,A,704478,D
0000078003-03-000291,KATEN KAREN L,0,1,0,Common Stock,2003-11-18,64800,34.37,D,639678,D
0000078003-03-000292,SHEDLARZ DAVID L,0,1,0,Common Stock,2003-11-18,47478,34.16,D,502023,D
0000078003-03-000293,STEERE WILLIAM C JR,1,0,0,Common Stock,2003-11-17,180000,8.17,A,2225470,D
0000078003-03-000293,STEERE WILLIAM C JR,1,0,0,Common Stock,2003-11-17,180000,33.99,D,2045470,D
0000078003-03-000294,KATEN KAREN L,0,1,0,Common Stock,2003-11-20,466,0,D,639212,D
0000078003-03-000304,SHEDLARZ DAVID L,0,1,0,Common Stock,2003-11-26,25000,33.95,D,477023,D
0000078003-03-000305,SHEDLARZ DAVID L,0,1,0,Common Stock,2003-12-01,25275,34.00,D,451748,D
0000078003-03-000307,STEERE WILLIAM C JR,1,0,0,Common Stock,2003-12-02,50000,0,D,1995470,D
0000078003-03-000310,HARDWICK CHARLES L,0,1,0,Common Stock,2003-12-15,325,0,D,20580,D
0000078003-03-000314,MCKINNELL HENRY A,1,1,0,Common Stock,2003-12-12,2250,0,D,1097198,D
0000078003-03-000320,PFIZER INC,0,0,1,Common stock,2003-12-17,645162,2.67,A,3273679,I
0000078003-04-000012,KINDLER JEFFREY B,0,1,0,Common Stock,2004-01-02,1541,35.21,D,25382,D
0000078003-04-000023,STEERE WILLIAM C JR,1,0,0,Common Stock,2004-01-30,29945,36.44,D,1972339,D
0000078003-04-000026,STEERE WILLIAM C JR,1,0,0,Common Stock,2004-02-02,200000,37.15,D,79251,I
0000078003-04-000027,STEERE WILLIAM C JR,1,0,0,Common Stock,2004-02-05,89835,38.43,D,1882504,D
0000078003-04-000031,CANGIALOSI LORETTA V,0,1,0,Common Stock,2004-02-19,2100,5.71,A,48396,D
0000078003-04-000031,CANGIALOSI LORETTA V,0,1,0,Common Stock,2004-02-19,321,37.41,D,48075,D
0000078003-04-000032,MCKINNELL HENRY A,1,1,0,Common Stock,2004-02-25,15725,37.20,D,1149087,D
0000078003-04-000033,CANGIALOSI LORETTA V,0,1,0,Common Stock,2004-02-26,13560,0,A,61696,D
0000078003-04-000033,CANGIALOSI LORETTA V,0,1,0,Common Stock,2004-02-26,1175,37.15,D,60521,D
0000078003-04-000034,CORR PETER B,0,1,0,Common Stock,2004-02-26,35460,0,A,80743,D
0000078003-04-000035,HARDWICK CHARLES L,0,1,0,Common Stock,2004-02-26,15480,0,A,36131,D
0000078003-04-000037,KATEN KAREN L,0,1,0,Common Stock,2004-02-26,40680,0,A,682146,D
0000078003-04-000037,KATEN KAREN L,0,1,0,Common Stock,2004-02-26,16049,37.15,D,666097,D
0000078003-04-000038,KINDLER JEFFREY B,0,1,0,Common Stock,2004-02-26,23100,0,A,48600,D
0000078003-04-000039,MCKINNELL HENRY A,1,1,0,Common Stock,2004-02-26,75060,0,A,1224147,D
0000078003-04-000040,MITCHELL JOHN W,0,1,0,Common Stock,2004-02-26,18810,0,A,694677,D
0000078003-04-000041,SHEDLARZ DAVID L,0,1,0,Common Stock,2004-02-26,32760,0,A,486531,D
0000078003-04-000041,SHEDLARZ DAVID L,0,1,0,Common Stock,2004-02-26,12924,37.15,D,473607,D
0000078003-04-000043,LAMATTINA JOHN L,0,1,0,Common Stock,2004-02-26,17910,0,A,299121,D
0000078003-04-000043,LAMATTINA JOHN L,0,1,0,Common Stock,2004-02-26,5633,37.15,D,293488,D
0000078003-04-000045,HARDWICK CHARLES L,0,1,0,Common Stock,2003-08-20,61,30.91,D,20736,D
0000078003-04-000058,CANGIALOSI LORETTA V,0,1,0,Common Stock,2004-03-25,16950,0,A,77592,D
0000078003-04-000059,CORR PETER B,0,1,0,Common Stock,2004-03-25,17730,0,A,98597,D
0000078003-04-000060,HARDWICK CHARLES L,0,1,0,Common Stock,2004-03-25,7740,0,A,43863,D
0000078003-04-000061,KATEN KAREN L,0,1,0,Common Stock,2004-03-25,67800,0,A,736106,D
0000078003-04-000062,KINDLER JEFFREY B,0,1,0,Common Stock,2004-03-25,23100,0,A,71700,D
0000078003-04-000063,LAMATTINA JOHN L,0,1,0,Common Stock,2004-03-25,29850,0,A,324257,D
0000078003-04-000064,MCKINNELL HENRY A,1,1,0,Common Stock,2004-03-25,125100,0,A,1353948,D
0000078003-04-000065,MITCHELL JOHN W,0,1,0,Common Stock,2004-03-25,31350,0,A,727258,D
0000078003-04-000066,SHEDLARZ DAVID L,0,1,0,Common Stock,2004-03-25,54600,0,A,530107,D
0000078003-04-000144,VALLES JEAN PAUL,1,0,0,Common Stock,2004-05-17,14104,0,D,741811,D
0000078003-04-000162,LAMATTINA JOHN L,0,1,0,Common Stock,2004-06-09,1216,0,D,323041,D
0000078003-04-000162,LAMATTINA JOHN L,0,1,0,Common Stock,2004-06-09,608,0,A,5098,I
0000078003-04-000162,LAMATTINA JOHN L,0,1,0,Common Stock,2004-06-09,608,0,A,12298,I
0000078003-04-000177,LAMATTINA JOHN L,0,1,0,Common Stock,2004-06-18,6072,5.71,A,330076,D
0000078003-04-000223,MITCHELL JOHN W,0,1,0,Common Stock,2004-07-23,17508,5.71,A,746148,D
0000078003-04-000331,LAMATTINA JOHN L,0,1,0,Common Stock,2004-11-02,4300,0,D,327236,D
0000078003-04-000335,KATEN KAREN L,0,1,0,Common Stock,2004-11-05,536,0,D,741275,D
0000078003-04-000339,CANGIALOSI LORETTA V,0,1,0,Common Stock,2004-11-16,1500,8.17,A,79699,D
0000078003-04-000339,CANGIALOSI LORETTA V,0,1,0,Common Stock,2004-11-16,447,27.42,D,79252,D
0000078003-04-000349,SIMMONS RUTH J,1,0,0,Common Stock,2004-11-17,321,28.02,A,1200,D
0000078003-04-000359,LAMATTINA JOHN L,0,1,0,Common Stock,2004-11-30,500,0,D,326736,D
0000078003-04-000363,SHEDLARZ DAVID L,0,1,0,Common Stock,2004-12-01,21500,28.25,D,513468,D
0000078003-04-000363,SHEDLARZ DAVID L,0,1,0,Common Stock,2004-12-01,5500,28.26,D,507968,D
0000078003-04-000363,SHEDLARZ DAVID L,0,1,0,Common Stock,2004-12-01,3618,28.27,D,504350,D
0000078003-04-000364,VALLES JEAN PAUL,1,0,0,Common Stock,2004-12-01,100000,28.26,D,641854,D
0000078003-04-000365,HARDWICK CHARLES L,0,1,0,Common Stock,2004-12-06,276,0,D,44016,D
0000078003-05-000008,KINDLER JEFFREY B,0,1,0,Common Stock,2005-01-03,1593,27.04,D,71045,D
0000078003-05-000027,STEERE WILLIAM C JR,1,0,0,Common Stock,2005-01-31,41810,24.34,D,1940086,D
0000078003-05-000042,CANGIALOSI LORETTA V,0,1,0,Common Stock,2005-02-24,34800,0,A,114412,D
0000078003-05-000042,CANGIALOSI LORETTA V,0,1,0,Common Stock,2005-02-24,3025,26.20,D,111387,D
0000078003-05-000043,CORR PETER B,0,1,0,Common Stock,2005-02-24,59010,0,A,159090,D
0000078003-05-000043,CORR PETER B,0,1,0,Common Stock,2005-02-24,10224,26.20,D,148866,D
0000078003-05-000044,HARDWICK CHARLES L,0,1,0,Common Stock,2005-02-24,25830,0,A,70094,D
0000078003-05-000045,JACKSON YVONNE R,0,1,0,Common Stock,2005-02-24,6180,0,A,15946,D
0000078003-05-000045,JACKSON YVONNE R,0,1,0,Common Stock,2005-02-24,2439,26.20,D,13507,D
0000078003-05-000046,KATEN KAREN L,0,1,0,Common Stock,2005-02-24,125280,0,A,870014,D
0000078003-05-000046,KATEN KAREN L,0,1,0,Common Stock,2005-02-24,58135,26.20,D,811879,D
0000078003-05-000047,KINDLER JEFFREY B,0,1,0,Common Stock,2005-02-24,49980,0,A,121025,D
0000078003-05-000047,KINDLER JEFFREY B,0,1,0,Common Stock,2005-02-24,12989,26.20,D,108036,D
0000078003-05-000048,LAMATTINA JOHN L,0,1,0,Common Stock,2005-02-24,61440,0,A,389032,D
0000078003-05-000048,LAMATTINA JOHN L,0,1,0,Common Stock,2005-02-24,21651,26.20,D,367381,D
0000078003-05-000049,MCKINNELL HENRY A,1,1,0,Common Stock,2005-02-24,220800,0,A,1558472,D
0000078003-05-000050,RICCIARDI NATALE S,0,1,0,Common Stock,2005-02-24,24720,0,A,268761,D
0000078003-05-000050,RICCIARDI NATALE S,0,1,0,Common Stock,2005-02-24,8408,26.20,D,260353,D
0000078003-05-000051,SHEDLARZ DAVID L,0,1,0,Common Stock,2005-02-24,95520,0,A,602820,D
0000078003-05-000051,SHEDLARZ DAVID L,0,1,0,Common Stock,2005-02-24,43419,26.20,D,559401,D
0000078003-05-000071,CANGIALOSI LORETTA V,0,1,0,Common Stock,2005-03-14,10740,8.17,A,122127,D
0000078003-05-000071,CANGIALOSI LORETTA V,0,1,0,Common Stock,2005-03-14,3321,26.43,D,118806,D
0000078003-05-000099,SHEDLARZ DAVID L,0,1,0,Common Stock,2005-04-21,71937,26.98,D,490911,D
0000078003-05-000127,LAMATTINA JOHN L,0,1,0,Common Stock,2005-05-06,36589,27.81,D,332502,D
0000078003-05-000127,LAMATTINA JOHN L,0,1,0,Common Stock,2005-05-06,3200,27.82,D,329302,D
0000078003-05-000128,CANGIALOSI LORETTA V,0,1,0,Common Stock,2005-05-10,960,8.17,A,120183,D
0000078003-05-000128,CANGIALOSI LORETTA V,0,1,0,Common Stock,2005-05-10,960,27.78,D,119223,D
0000078003-05-000129,KATEN KAREN L,0,1,0,Common Stock,2005-05-10,8045,27.79,D,807878,D
0000078003-05-000129,KATEN KAREN L,0,1,0,Common Stock,2005-05-10,59100,27.78,D,748778,D
0000078003-05-000130,KINDLER JEFFREY B,0,1,0,Common Stock,2005-05-10,100,27.69,D,107984,D
0000078003-05-000130,KINDLER JEFFREY B,0,1,0,Common Stock,2005-05-10,5900,27.68,D,102084,D
0000078003-05-000134,KINDLER JEFFREY B,0,1,0,Common Stock,2005-05-13,1700,27.67,D,100384,D
0000078003-05-000134,KINDLER JEFFREY B,0,1,0,Common Stock,2005-05-13,12300,27.66,D,88084,D
0000078003-05-000139,SHEDLARZ DAVID L,0,1,0,Common Stock,2005-05-23,39000,18.35,A,529911,D
0000078003-05-000139,SHEDLARZ DAVID L,0,1,0,Common Stock,2005-05-23,27800,28.69,D,502111,D
0000078003-05-000139,SHEDLARZ DAVID L,0,1,0,Common Stock,2005-05-23,11200,28.70,D,490911,D
0000078003-05-000223,MCKINNELL HENRY A,1,1,0,Common Stock,2005-08-16,347760,8.17,A,1888034,D
0000078003-05-000223,MCKINNELL HENRY A,1,1,0,Common Stock,2005-08-16,307760,26.11,D,1580274,D
0000078003-05-000262,BURT ROBERT N,1,0,0,Common Stock,2005-10-28,10000,21.20,A,12200,D
0000078003-05-000278,LEVIN ALAN G,0,1,0,Common Stock,2005-11-11,12000,22.26,D,306787,D
0000078003-05-000279,KATEN KAREN L,0,1,0,Common Stock,2005-11-14,823,0,D,756151,D
0000078003-05-000288,LAMATTINA JOHN L,0,1,0,Common Stock,2005-11-18,5200,0,D,327567,D
0000078003-05-000301,MCKINNELL HENRY A,1,1,0,Common Stock,2005-12-14,2400,0,D,1508996.00,D
0000078003-05-000308,LEVIN ALAN G,0,1,0,Common Stock,2005-12-15,1334,0,D,305453.00,D
0000078003-05-000308,LEVIN ALAN G,0,1,0,Common Stock,2005-12-16,4734,12.42,A,310187.00,D
0000078003-06-000008,KINDLER JEFFREY B,0,1,0,Common Stock,2005-12-30,1502,23.34,D,88180.00,D
0000078003-06-000019,STEERE WILLIAM C JR,1,0,0,Common Stock,2006-01-31,40230,25.79,D,1940960.00,D
0000078003-06-000027,FECZKO JOSEPH M,0,1,0,Common Stock,2006-02-15,2268,12.42,A,8607.00,I
0000078003-06-000027,FECZKO JOSEPH M,0,1,0,Common Stock,2006-02-15,2268,25.27,D,6339.00,I
0000078003-06-000027,FECZKO JOSEPH M,0,1,0,Common Stock,2006-02-15,2052,18.35,A,8391.00,I
0000078003-06-000027,FECZKO JOSEPH M,0,1,0,Common Stock,2006-02-15,2052,25.27,D,6339.00,I
0000078003-06-000030,CANGIALOSI LORETTA V,0,1,0,Common Stock,2006-02-23,8020,0,A,129234.00,D
0000078003-06-000030,CANGIALOSI LORETTA V,0,1,0,Common Stock,2006-02-23,31500,0,A,160734.00,D
0000078003-06-000030,CANGIALOSI LORETTA V,0,1,0,Common Stock,2006-02-23,5334,26.20,D,155400.00,D
0000078003-06-000031,FECZKO JOSEPH M,0,1,0,Common Stock,2006-02-23,12260,0,A,265508.00,D
0000078003-06-000031,FECZKO JOSEPH M,0,1,0,Common Stock,2006-02-23,41790,0,A,307298.00,D
0000078003-06-000032,KATEN KAREN L,0,1,0,Common Stock,2006-02-23,47470,0,A,808801.00,D
0000078003-06-000032,KATEN KAREN L,0,1,0,Common Stock,2006-02-23,127260,0,A,936061.00,D
0000078003-06-000033,KINDLER JEFFREY B,0,1,0,Common Stock,2006-02-23,27690,0,A,115872.00,D
0000078003-06-000033,KINDLER JEFFREY B,0,1,0,Common Stock,2006-02-23,39840,0,A,155712.00,D
0000078003-06-000034,LAMATTINA JOHN L,0,1,0,Common Stock,2006-02-23,23070,0,A,352830.00,D
0000078003-06-000034,LAMATTINA JOHN L,0,1,0,Common Stock,2006-02-23,62370,0,A,415200.00,D
0000078003-06-000035,LEVIN ALAN G,0,1,0,Common Stock,2006-02-23,23070,0,A,335099.00,D
0000078003-06-000035,LEVIN ALAN G,0,1,0,Common Stock,2006-02-23,48720,0,A,383819.00,D
0000078003-06-000035,LEVIN ALAN G,0,1,0,Common Stock,2006-02-23,19472,26.20,D,364347.00,D
0000078003-06-000036,MCKINNELL HENRY A,1,1,0,Common Stock,2006-02-23,89180,0,A,1636017.00,D
0000078003-06-000036,MCKINNELL HENRY A,1,1,0,Common Stock,2006-02-23,210000,0,A,1846017.00,D
0000078003-06-000037,SHEDLARZ DAVID L,0,1,0,Common Stock,2006-02-23,31650,0,A,533966.00,D
0000078003-06-000037,SHEDLARZ DAVID L,0,1,0,Common Stock,2006-02-23,88620,0,A,622586.00,D
0000078003-06-000038,FECZKO JOSEPH M,0,1,0,Common Stock,2006-02-24,238,26.28,D,6124.00,I
0000078003-06-000039,CANGIALOSI LORETTA V,0,1,0,Common Stock,2006-02-27,1587,26.55,D,153813.00,D
0000078003-06-000040,FECZKO JOSEPH M,0,1,0,Common Stock,2006-02-27,2206,26.55,D,305092.00,D
0000078003-06-000041,KATEN KAREN L,0,1,0,Common Stock,2006-02-27,4010,26.55,D,932051.00,D
0000078003-06-000042,KINDLER JEFFREY B,0,1,0,Common Stock,2006-02-27,3055,26.55,D,152657.00,D
0000078003-06-000043,LAMATTINA JOHN L,0,1,0,Common Stock,2006-02-27,2275,26.55,D,412925.00,D
0000078003-06-000044,LEVIN ALAN G,0,1,0,Common Stock,2006-02-27,2173,26.55,D,362174.00,D
0000078003-06-000045,SHEDLARZ DAVID L,0,1,0,Common Stock,2006-02-27,3201,26.55,D,619385.00,D
0000078003-06-000047,CANGIALOSI LORETTA V,0,1,0,Common Stock,2006-03-06,12432,12.42,A,166245.00,D
0000078003-06-000047,CANGIALOSI LORETTA V,0,1,0,Common Stock,2006-03-06,4380,26.17,D,161865.00,D
0000078003-06-000047,CANGIALOSI LORETTA V,0,1,0,Common Stock,2006-03-06,3055,26.11,D,158810.00,D
0000078003-06-000066,CANGIALOSI LORETTA V,0,1,0,Common Stock,2006-04-07,19,26.05,D,158833.00,D
0000078003-06-000067,FECZKO JOSEPH M,0,1,0,Common Stock,2006-04-07,29,26.05,D,305123.00,D
0000078003-06-000068,KATEN KAREN L,0,1,0,Common Stock,2006-04-07,53,26.05,D,932107.00,D
0000078003-06-000069,KINDLER JEFFREY B,0,1,0,Common Stock,2006-04-07,37,26.05,D,152703.00,D
0000078003-06-000070,LAMATTINA JOHN L,0,1,0,Common Stock,2006-04-07,28,26.05,D,412963.00,D
0000078003-06-000071,LEVIN ALAN G,0,1,0,Common Stock,2006-04-07,29,26.05,D,362204.00,D
0000078003-06-000072,SHEDLARZ DAVID L,0,1,0,Common Stock,2006-04-07,42,26.05,D,619430.00,D
0000078003-06-000084,FECZKO JOSEPH M,0,1,0,Common Stock,2006-04-21,33600,12.42,A,340910.00,D
0000078003-06-000084,FECZKO JOSEPH M,0,1,0,Common Stock,2006-04-21,33600,25.07,D,307310.00,D
0000078003-06-000102,CANGIALOSI LORETTA V,0,1,0,Common Stock,2006-05-02,5416,25.14,D,154179.00,D
0000078003-06-000102,CANGIALOSI LORETTA V,0,1,0,Common Stock,2006-05-02,5000,25.12,D,149179.00,D
0000078003-06-000104,KATEN KAREN L,0,1,0,Common Stock,2006-05-01,159948,12.42,A,1097349.00,D
0000078003-06-000104,KATEN KAREN L,0,1,0,Common Stock,2006-05-01,159948,25.11,D,937401.00,D
0000078003-06-000110,STEERE WILLIAM C JR,1,0,0,Common Stock,2006-05-01,891948,12.42,A,2844497.00,D
0000078003-06-000110,STEERE WILLIAM C JR,1,0,0,Common Stock,2006-05-01,977736,25.26,D,1866761.00,D
0000078003-06-000110,STEERE WILLIAM C JR,1,0,0,Common Stock,2006-05-01,100461,0,D,1766300.00,D
0000078003-06-000127,KATEN KAREN L,0,1,0,Common Stock,2006-05-24,8052,12.42,A,945453.00,D
0000078003-06-000127,KATEN KAREN L,0,1,0,Common Stock,2006-05-24,4169,23.99,D,941284.00,D
0000078003-06-000194,MCKINNELL HENRY A,1,0,0,Common Stock,2006-08-02,351948,12.42,A,2220066.00,D
0000078003-06-000194,MCKINNELL HENRY A,1,0,0,Common Stock,2006-08-02,245000,26.19,D,1975066.00,D
0000078003-06-000204,LEVIN ALAN G,0,1,0,Common Stock,2006-08-11,500,0,D,365829.00,D
0000078003-06-000210,LEVIN ALAN G,0,1,0,Common Stock,2006-08-16,35718,12.42,A,401547.00,D
0000078003-06-000210,LEVIN ALAN G,0,1,0,Common Stock,2006-08-16,32400,26.38,D,369147.00,D
0000078003-06-000230,KINDLER JEFFREY B,1,1,0,Common Stock,2006-09-05,1850,0,D,152699.00,D
0000078003-06-000281,LAMATTINA JOHN L,0,1,0,Common Stock,2006-11-01,3200,0,D,418145.00,D
0000078003-06-000293,SHEDLARZ DAVID L,0,1,0,Common Stock,2006-11-06,6312,26.91,D,629177.00,D
0000078003-06-000294,STEERE WILLIAM C JR,1,0,0,Common Stock,2006-11-07,894552,18.35,A,2684640.00,D
0000078003-06-000294,STEERE WILLIAM C JR,1,0,0,Common Stock,2006-11-07,894552,27.21,D,1790088.00,D
0000078003-06-000295,CANGIALOSI LORETTA V,0,1,0,Common Stock,2006-11-08,5448,18.35,A,156638.00,D
0000078003-06-000295,CANGIALOSI LORETTA V,0,1,0,Common Stock,2006-11-08,3782,26.44,D,152856.00,D
0000078003-06-000338,MCKINNELL HENRY A,1,0,0,Common Stock,2006-12-11,1030,0,D,1944258.00,D
0000078003-06-000338,MCKINNELL HENRY A,1,0,0,Common Stock,2006-12-12,10330,0,D,1933928.00,D
0000078003-06-000351,LEVIN ALAN G,0,1,0,Common Stock,2006-12-19,433,0,D,371188.00,D
0000078003-06-000353,STEERE WILLIAM C JR,1,0,0,Common Stock,2006-12-22,99998,0,D,1690090.00,D
0000078003-07-000007,KINDLER JEFFREY B,1,1,0,Common Stock,2006-12-29,1586,25.90,D,153446.00,D
0000078003-07-000016,MCKINNELL HENRY A,1,0,0,Common Stock,2007-01-29,5448,18.35,A,1971152.00,D
0000078003-07-000017,KINDLER JEFFREY B,1,1,0,Common Stock,2007-01-31,7660,0,D,145786.00,D
0000078003-07-000018,STEERE WILLIAM C JR,1,0,0,Common Stock,2007-01-31,45738,26.24,D,1655604.00,D
0000078003-07-000019,LAMATTINA JOHN L,0,1,0,Common Stock,2007-02-07,13800,18.35,A,434901.00,D
0000078003-07-000019,LAMATTINA JOHN L,0,1,0,Common Stock,2007-02-07,13800,26.54,D,421101.00,D
0000078003-07-000020,READ IAN C,0,1,0,Common Stock,2007-02-07,72552,18.35,A,260654.00,D
0000078003-07-000020,READ IAN C,0,1,0,Common Stock,2007-02-07,72552,26.49,D,188102.00,D
0000078003-07-000021,GRAY III WILLIAM H,1,0,0,Common Stock,2007-02-08,980,26.45,D,11.00,D
0000078003-07-000022,FECZKO JOSEPH M,0,1,0,Common Stock,2007-02-13,69552,18.35,A,385005.00,D
0000078003-07-000022,FECZKO JOSEPH M,0,1,0,Common Stock,2007-02-13,69552,26.31,D,315453.00,D
0000078003-07-000024,BAGGER RICHARD H,0,1,0,Common Stock,2007-02-22,6260,0,A,31271.00,D
0000078003-07-000024,BAGGER RICHARD H,0,1,0,Common Stock,2007-02-22,12300,0,A,43571.00,D
0000078003-07-000025,CANGIALOSI LORETTA V,0,1,0,Common Stock,2007-02-22,6260,0,A,160178.00,D
0000078003-07-000025,CANGIALOSI LORETTA V,0,1,0,Common Stock,2007-02-22,26100,0,A,186278.00,D
0000078003-07-000025,CANGIALOSI LORETTA V,0,1,0,Common Stock,2007-02-22,8831,25.87,D,177447.00,D
0000078003-07-000026,FECZKO JOSEPH M,0,1,0,Common Stock,2007-02-22,10430,0,A,326021.00,D
0000078003-07-000026,FECZKO JOSEPH M,0,1,0,Common Stock,2007-02-22,36600,0,A,362621.00,D
0000078003-07-000027,KINDLER JEFFREY B,1,1,0,Common Stock,2007-02-22,76680,0,A,222779.00,D
0000078003-07-000028,LAMATTINA JOHN L,0,1,0,Common Stock,2007-02-22,17730,0,A,439092.00,D
0000078003-07-000028,LAMATTINA JOHN L,0,1,0,Common Stock,2007-02-22,56040,0,A,495132.00,D
0000078003-07-000028,LAMATTINA JOHN L,0,1,0,Common Stock,2007-02-22,19974,25.87,D,475158.00,D
0000078003-07-000029,LEVIN ALAN G,0,1,0,Common Stock,2007-02-22,15640,0,A,388664.00,D
0000078003-07-000029,LEVIN ALAN G,0,1,0,Common Stock,2007-02-22,46500,0,A,435164.00,D
0000078003-07-000029,LEVIN ALAN G,0,1,0,Common Stock,2007-02-22,18362,25.87,D,416802.00,D
0000078003-07-000030,MCKINNELL HENRY A,1,0,0,Common Stock,2007-02-22,198000,0,A,2170160.00,D
0000078003-07-000031,READ IAN C,0,1,0,Common Stock,2007-02-22,17730,0,A,205992.00,D
0000078003-07-000031,READ IAN C,0,1,0,Common Stock,2007-02-22,42600,0,A,248592.00,D
0000078003-07-000032,SHEDLARZ DAVID L,0,1,0,Common Stock,2007-02-22,28160,0,A,663225.00,D
0000078003-07-000032,SHEDLARZ DAVID L,0,1,0,Common Stock,2007-02-22,73440,0,A,736665.00,D
0000078003-07-000032,SHEDLARZ DAVID L,0,1,0,Common Stock,2007-02-22,31240,25.87,D,705425.00,D
0000078003-07-000033,WAXMAN ALLEN P,0,1,0,Common Stock,2007-02-22,11470,0,A,57345.00,D
0000078003-07-000033,WAXMAN ALLEN P,0,1,0,Common Stock,2007-02-22,12500,0,A,69845.00,D
0000078003-07-000033,WAXMAN ALLEN P,0,1,0,Common Stock,2007-02-22,4225,25.87,D,65620.00,D
0000078003-07-000037,MCKINNELL HENRY A,1,0,0,Common Stock,2007-02-28,35309,24.96,D,2134851.00,D
0000078003-07-000045,SHEDLARZ DAVID L,0,1,0,Common Stock,2007-03-16,43641,24.98,D,662468.00,D
0000078003-07-000047,CANGIALOSI LORETTA V,0,1,0,Common Stock,2007-03-23,8167,25.66,D,169493.00,D
0000078003-07-000048,FECZKO JOSEPH M,0,1,0,Common Stock,2007-03-23,12855,25.66,D,350072.00,D
0000078003-07-000049,KINDLER JEFFREY B,1,1,0,Common Stock,2007-03-23,11129,25.66,D,211939.00,D
0000078003-07-000050,LAMATTINA JOHN L,0,1,0,Common Stock,2007-03-23,13710,25.66,D,461822.00,D
0000078003-07-000051,LEVIN ALAN G,0,1,0,Common Stock,2007-03-23,13013,25.66,D,404099.00,D
0000078003-07-000052,READ IAN C,0,1,0,Common Stock,2007-03-23,13119,25.66,D,235818.00,D
0000078003-07-000053,SHEDLARZ DAVID L,0,1,0,Common Stock,2007-03-23,28708,25.66,D,633760.00,D
0000078003-07-000065,FECZKO JOSEPH M,0,1,0,Common Stock,2007-04-03,500,0,D,349572.00,D
0000078003-07-000065,FECZKO JOSEPH M,0,1,0,Common Stock,2007-04-03,800,0,D,348772.00,D
0000078003-07-000065,FECZKO JOSEPH M,0,1,0,Common Stock,2007-04-03,800,0,A,2925.00,I
0000078003-07-000075,FECZKO JOSEPH M,0,1,0,Common Stock,2007-04-23,17087,26.61,D,334719.00,D
0000078003-07-000075,FECZKO JOSEPH M,0,1,0,Common Stock,2007-04-23,3982,26.59,D,0.00,I
0000078003-07-000092,STEERE WILLIAM C JR,1,0,0,Common Stock,2007-04-27,55856,26.62,D,1613313.00,D
0000078003-07-000092,STEERE WILLIAM C JR,1,0,0,Common Stock,2007-04-27,29086,26.61,D,1584227.00,D
0000078003-07-000094,CANGIALOSI LORETTA V,0,1,0,Common Stock,2007-04-27,8052,18.35,A,178510.00,D
0000078003-07-000094,CANGIALOSI LORETTA V,0,1,0,Common Stock,2007-04-27,8052,26.56,D,170458.00,D
0000078003-07-000094,CANGIALOSI LORETTA V,0,1,0,Common Stock,2007-04-27,20477,26.53,D,149981.00,D
0000078003-07-000094,CANGIALOSI LORETTA V,0,1,0,Common Stock,2007-04-27,7269,26.50,D,142712.00,D
0000078003-07-000102,MCLEOD MARY S,0,1,0,Common Stock,2007-04-30,20000,0,A,20000.00,D
0000078003-07-000109,LEVIN ALAN G,0,1,0,Common Stock,2007-05-07,90000,18.35,A,496209.00,D
0000078003-07-000109,LEVIN ALAN G,0,1,0,Common Stock,2007-05-07,84552,26.96,D,411657.00,D
0000078003-07-000109,LEVIN ALAN G,0,1,0,Common Stock,2007-05-07,57386,27.12,D,354271.00,D
0000078003-07-000109,LEVIN ALAN G,0,1,0,Common Stock,2007-05-08,14210,27.34,D,340061.00,D
