File,OwnerName,IsDir,IsOff,IsTen,SecTitle,TransDate,Shares,PPS,ADCode,SharesAfter,DIOwner
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,200.0000,34.0600,D,454485.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,300.0000,34.4500,D,454185.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,300.0000,34.0700,D,453885.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,400.0000,34.4800,D,453485.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,400.0000,34.4600,D,453085.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,400.0000,34.3900,D,452685.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,400.0000,34.3600,D,452285.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,500.0000,34.4900,D,451785.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,500.0000,34.4200,D,451285.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,500.0000,34.4100,D,450785.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,500.0000,34.3800,D,450285.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,500.0000,34.3000,D,449785.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,600.0000,34.4400,D,449185.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,600.0000,34.3500,D,448585.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,600.0000,34.3400,D,447985.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,600.0000,34.2800,D,447385.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,800.0000,34.3200,D,446585.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,800.0000,34.1000,D,445785.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,900.0000,34.3300,D,444885.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,900.0000,34.1100,D,443985.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,900.0000,34.0800,D,443085.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,1000.0000,34.0900,D,442085.7483,D
0001225208-15-003747,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,1200.0000,34.3700,D,440885.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,1300.0000,34.1200,D,439585.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,1500.0000,34.1900,D,438085.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,1600.0000,34.2700,D,436485.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,1600.0000,34.1300,D,434885.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,1700.0000,34.3100,D,433185.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,1700.0000,34.1400,D,431485.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,1800.0000,34.2600,D,429685.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,2000.0000,34.1500,D,427685.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,2100.0000,34.1600,D,425585.7483,D
0001225208-15-003748,DAMELIO FRANK A,0,1,0,Common Stock,2015-02-11,2400.0000,34.1700,D,423185.7483,D
