TRANS_DATE,DSHARES
2017-08-23,765368.0
2017-09-07,136498659.0
2017-09-19,14715666.0
2017-09-29,25860806.5
2017-10-17,19573909.0
2017-11-14,2433394.0
2017-11-15,23200320.5
2017-11-19,55.0
2017-11-29,22984853.0
2017-12-05,3635773.0
2017-12-15,1055153.5
2017-12-21,34309513.0
2017-12-22,1454984.0
2018-01-06,26.5
2018-01-13,45.5
2018-01-19,10607358.0
2018-01-31,310690.0
2018-02-01,2202031.0
2018-02-15,231618.0
2018-03-07,2586465.5
2018-03-11,30.0
2018-03-18,1549.5
2018-03-19,198424.0
2018-03-28,1386738.5
2018-04-06,359961.0
2018-04-17,1029853.5
2018-04-18,1270810.5
2018-04-19,1949487.0
2018-05-09,3840538.0
2018-05-15,8662371.5
2018-05-17,2176154.5
2018-05-18,5723417.5
2018-06-14,43406506.0
2018-06-15,7987049.5
2018-06-16,37530.0
2018-06-17,7.0
2018-07-04,30143779.0
2018-07-09,48431547.5
2018-07-12,135005.5
2018-07-29,144.0
2018-08-08,525661.0
2018-08-17,59454676.5
2018-08-22,84039.5
2018-09-01,347.0
2018-09-08,16.0
2018-09-27,183571.0
2018-10-02,1179380.0
2018-10-14,4303.5
2018-10-16,292763.5
2018-10-22,69521.5
2018-11-04,64.0
2018-11-07,2489541.0
2018-11-10,2.0
2018-11-15,2500958.5
2018-11-17,175.0
2018-11-19,1341293.0
2018-11-27,599553.5
2018-12-08,75.0
2018-12-11,2989011.0
2018-12-21,1301584.5
2019-01-03,327663.5
2019-01-05,39.5
2019-01-19,2.5
2019-02-10,28.0
2019-02-14,65200.0
2019-02-16,93.0
2019-03-03,144.5
2019-03-06,5149928.0
2019-03-15,18002.0
2019-04-07,77.0
2019-04-15,1816047.5
2019-04-18,53104.5
2019-05-16,679579.5
2019-05-18,72.0
2019-05-21,4928527.0
2019-05-31,16963978.0
2019-06-02,97.5
2019-06-05,4682520.5
2019-06-13,254917.5
2019-06-22,539.5
2019-07-02,409574.5
2019-07-03,909517.0
2019-07-04,175129.0
2019-07-06,40.0
2019-07-09,142881.5
2019-07-10,198522.5
2019-07-16,2625315.0
2019-07-30,5870410.5
2019-08-08,26484.0
2019-08-09,9482992.5
2019-08-14,4305248.0
2019-08-31,1.5
2019-09-04,9080919.5
2019-09-06,421746.5
2019-09-12,13507815.5
2019-09-20,2501690.0
2019-10-01,1140529.5
2019-10-03,4356715.0
2019-10-04,1402114.0
2019-11-11,510976.0
2019-11-22,1301584.5
2019-12-01,44.0
2019-12-18,1887911.5
2019-12-23,1184037.0
2019-12-27,59454676.5
2019-12-28,8131.5
2020-01-06,184632.5
2020-01-17,3435906.0
2020-01-24,276226.5
2020-02-09,8.0
2020-02-18,27896.0
2020-02-27,361784.5
2020-03-01,6.5
2020-03-10,33187.5
2020-03-13,69846.5
2020-03-21,21.5
2020-03-28,1622.0
2020-03-29,27.5
2020-04-08,204728.5
2020-04-11,13.5
2020-05-05,443024.5
2020-05-07,670949.0
2020-05-15,865907.0
2020-05-28,216285.0
2020-05-29,5703681.5
2020-05-30,7.0
2020-06-06,18.5
2020-06-12,224220.0
2020-06-29,209442.0
2020-07-01,883702.5
2020-07-07,115098.5
2020-07-19,1.0
2020-07-22,82381.0
2020-07-27,926269.5
2020-08-01,6.5
2020-08-02,28.0
2020-08-04,1336350.5
2020-08-11,483505.0
2020-08-30,7.0
2020-09-10,136196.5
2020-09-13,284.5
2020-09-14,85630948.0
2020-09-30,1580928.5
2020-10-28,672364.0
2020-11-07,43.5
2020-12-13,19.0
2020-12-16,770817.5
2020-12-19,3.0
2020-12-31,685634.5
2021-01-04,5597887.0
2021-01-09,4.0
2021-01-11,149039.0
2021-01-13,223124.5
2021-01-19,102231.0
2021-01-21,5956.5
2021-01-22,71632.5
2021-01-30,1675.0
2021-02-16,201792.0
2021-02-28,42.5
2021-03-03,496899.5
2021-03-05,617914.5
2021-03-17,164424.0
2021-03-22,38559.5
2021-03-29,674939.0
2021-03-31,1627104.0
2021-04-01,328371.0
2021-04-18,4.0
2021-04-29,33874.0
2021-05-04,2642685.0
2021-05-07,184772.0
2021-05-08,13.5
2021-05-23,7.0
2021-05-27,52935.0
2021-05-29,1.0
2021-06-02,436939.0
2021-07-11,14.0
2021-07-13,68741.0
2021-07-17,8.5
2021-07-20,39644.0
2021-07-28,132590.0
2021-08-11,18224.0
2021-08-16,527790.5
2021-08-19,4129103.5
2021-08-22,1.0
2021-09-03,91569.0
2021-10-01,176554.5
2021-10-06,7704.5
2021-10-12,91653165.0
2021-10-20,79337.5
2021-10-30,3.5
2021-11-10,41580.5
2021-11-15,62136.5
2021-12-02,112660.0
2021-12-11,1.0
2021-12-17,101057.0
2021-12-20,120725.0
2022-01-06,27166.5
2022-01-23,7.0
2022-01-27,30064212.5
2022-01-29,35.0
2022-02-13,1.5
2022-02-22,197734.0
2022-03-04,54176.0
2022-03-07,152139.5
2022-03-19,3.5
2022-03-28,305331.0
2022-03-31,20360.0
2022-04-02,20.5
2022-04-14,212199.5
2022-04-24,6.5
2022-04-25,838771.5
2022-05-12,45933.5
2022-05-17,92543.0
2022-05-20,316336.0
2022-05-21,1.0
2022-05-22,1.0
2022-05-23,949758.5
2022-06-02,12878.5
2022-06-11,1.0
2022-06-15,24551.0
2022-06-17,158997.5
2022-06-24,1672723.0
2022-07-03,8.0
2022-07-13,68719.5
2022-07-15,89592.5
2022-07-16,1.5
2022-07-21,5922.0
2022-07-24,2.0
2022-07-28,8948.0
2022-07-29,11571.5
2022-08-06,1.0
2022-08-28,4.5
2022-10-02,3.5
2022-10-04,53612.0
2022-10-13,30283.5
2022-10-16,1.0
2022-10-17,48120.5
2022-10-18,78909.0
2022-10-19,5602.5
2022-10-21,270478.0
2022-10-24,10269.0
2022-10-25,2872.0
2022-12-12,66327.5
2022-12-22,18404.5
2022-12-23,12182.5
2022-12-31,81806.0
2023-01-02,27896.5
2023-01-10,13108.5
2023-01-16,5044.0
2023-01-25,3624.5
2023-01-29,2.0
2023-01-30,3656.5
2023-02-01,310900.5
2023-02-09,58084.5
2023-02-19,1.5
2023-02-21,17299.5
2023-03-01,310900.5
2023-03-04,5.5
